,Customer ID,cluster
0,103512025131,2
1,103512025131,0
2,103512025286,0
3,103512025565,1
4,103512026867,1
5,103512026867,0
6,103512027952,1
7,103512027952,0
8,103512028045,1
9,103512028293,1
10,103512028479,1
11,103512028479,0
12,103512028665,2
13,103512028820,2
14,103512028882,1
15,103512029006,0
16,103512029037,1
17,103512029130,1
18,103512029192,0
19,103512029347,1
20,103512029347,2
21,103512029347,2
22,103512029440,0
23,103512029905,2
24,103512029936,2
25,103512029936,0
26,103512029967,0
27,103512029998,2
28,103512030029,1
29,103512030060,1
30,103512030060,2
31,103512030277,1
32,103512030308,1
33,103512030711,1
34,103512030866,0
35,103512030897,0
36,103512031486,2
37,103512031486,0
38,103512031610,1
39,103512031641,0
40,103512032013,0
41,103512032385,0
42,103512032385,0
43,103512032757,1
44,103512032819,0
45,103512032912,2
46,103512032912,0
47,103512032943,2
48,103512032943,0
49,103512033005,2
50,103512033346,1
51,103512033439,2
52,125037091573,1
53,125037091573,0
54,125037091666,0
55,125037092224,1
56,125037092627,0
57,125037092751,1
58,125037092751,2
59,125037092751,0
60,125037092968,0
61,125037093030,2
62,125037093030,0
63,125037093433,2
64,125037095417,0
65,125037098610,2
66,125037098610,0
67,125226127589,1
68,125226127620,1
69,125226127992,2
70,125226127992,0
71,125226128612,1
72,125226128829,1
73,125226130038,1
74,125226130038,0
75,125226132239,1
76,125226132859,1
77,125226132859,2
78,125226132890,2
79,125226132890,0
80,125226138439,0
81,125226153784,2
82,125226153784,0
83,125226154621,1
84,125226154621,1
85,125226154621,2
86,125226154621,0
87,125226154807,1
88,125226155241,1
89,125226155241,2
90,125226155241,2
91,125226155241,0
92,125226155334,2
93,125226155334,0
94,125226156295,1
95,125226156884,2
96,125226156915,1
97,125226157008,1
98,125226157008,2
99,125226157008,0
100,125226157411,0
101,125226157473,0
102,125226158310,2
103,125226158310,2
104,125226158310,0
105,125226158403,0
106,125226158465,1
107,125226158837,1
108,125226159023,1
109,125226163487,0
110,125226163580,2
111,125226163580,0
112,125226163952,1
113,125226163983,2
114,125226164417,0
115,125226164789,1
116,125226165130,1
117,125226165130,2
118,125226165843,0
119,125226166060,1
120,125226166122,2
121,125226166122,0
122,125226166153,1
123,125226166153,2
124,125226166494,1
125,125226166494,0
126,125226166742,0
127,125226166835,1
128,125226167083,0
129,125226167579,1
130,125226167579,1
131,125226167579,0
132,125226167734,1
133,125226168106,0
134,125226168199,1
135,125226168261,2
136,125226168261,0
137,125226168323,0
138,125226168943,2
139,125226168943,0
140,125226169191,1
141,125226169377,0
142,125226170121,1
143,125226170493,1
144,125226170586,1
145,125226170586,0
146,125226170617,1
147,125226170648,1
148,125226170927,2
149,125226170927,0
150,125226171020,1
151,125226171020,2
152,125226171020,0
153,125226171020,0
154,125226171020,0
155,125226171175,0
156,125226171485,0
157,125226172353,2
158,125226172353,0
159,125226172384,1
160,125226172384,2
161,125226172415,1
162,125226173221,0
163,125226173345,0
164,125226173748,1
165,125226173748,0
166,125226173996,0
167,125226174492,0
168,125226174957,2
169,125226174957,2
170,125226175050,2
171,125226175050,0
172,125226175174,0
173,125226175546,0
174,125226175546,0
175,125226176383,1
176,125226176910,1
177,125226177096,2
178,125226177096,2
179,125226177096,0
180,125226177406,1
181,125226177995,0
182,125226178088,0
183,125226178150,1
184,125226178553,1
185,125226178553,1
186,125226178553,2
187,125226178553,2
188,125226178584,2
189,125226178987,1
190,125226179173,1
191,125226179266,2
192,125226179266,2
193,125226179390,1
194,125226179514,2
195,125226179824,1
196,125226179855,1
197,125226179855,2
198,125226179855,0
199,125226179979,0
200,125226180661,0
201,125226180723,2
202,125226180723,0
203,125226184505,2
204,125226184505,0
205,125226184660,1
206,125226184660,2
207,125226184660,0
208,125226184722,1
209,125226185125,2
210,125226185125,0
211,125226185156,1
212,125226185435,0
213,125226185559,0
214,125226185714,1
215,125226185714,1
216,125226185714,1
217,125226185745,2
218,125226185745,0
219,125226187512,2
220,125226187574,1
221,125226187574,2
222,125226187574,0
223,125226187884,2
224,125226187884,0
225,125226188163,2
226,125226188163,0
227,125226188845,0
228,125226188876,1
229,125226188876,2
230,125226188938,2
231,125226188938,0
232,125226189031,2
233,125226189031,0
234,125226189558,0
235,125226189682,1
236,125226189682,2
237,125226189682,0
238,125226190271,2
239,125226190271,0
240,125227176877,2
241,125227176877,0
242,125227177342,2
243,125227177342,0
244,125227177373,1
245,125227177373,0
246,125227177652,0
247,125227177838,1
248,125227178086,1
249,125227178086,2
250,125401145808,0
251,125401151450,1
252,125401151450,0
253,125401151481,1
254,125401151481,2
255,125401151667,1
256,125401151791,1
257,125401151791,2
258,125401151915,2
259,125401151915,0
260,125401152938,2
261,125401152938,0
262,125401153155,2
263,125401153155,0
264,125401153248,1
265,125401153248,2
266,125401153279,0
267,125401153589,1
268,125401153899,1
269,125401153961,1
270,125401154209,1
271,125401154271,2
272,125401154271,0
273,125401154705,1
274,125401154736,2
275,125401155945,2
276,125401155945,2
277,125401156100,0
278,125401156131,2
279,125401156348,0
280,125401156813,1
281,125401157185,2
282,125401157247,1
283,125401157247,2
284,125401157247,0
285,125401157681,1
286,125401157681,2
287,125401157867,2
288,125401157867,2
289,125401157867,0
290,125401157929,0
291,125401158456,2
292,125401158983,0
293,125401159789,1
294,125401159882,0
295,125401160161,1
296,125401160409,1
297,125401160409,2
298,125401160564,1
299,125401160595,2
300,125401160595,0
301,125401160874,2
302,125401160874,0
303,125401160998,0
304,125401161029,1
305,125401161029,1
306,125401161029,2
307,125401161029,0
308,125401161060,2
309,125401161060,0
310,125401161091,0
311,125401161432,0
312,125401161494,1
313,125401161494,2
314,125401162145,1
315,125401162145,2
316,125401162858,0
317,125401162920,1
318,125401163292,2
319,125401163385,0
320,125401164098,2
321,125401164098,0
322,125401164594,0
323,125401164718,1
324,125401164718,2
325,125401165276,2
326,125401165276,0
327,125401165338,1
328,125401165338,2
329,125401165524,2
330,125401165524,0
331,125401165524,0
332,125401165741,1
333,125401166454,1
334,125401166547,1
335,125401166702,2
336,125401166702,0
337,125401166826,1
338,125401166826,2
339,125401166826,0
340,125401166981,0
341,125401167074,1
342,125401167074,2
343,125401167074,0
344,125401167167,1
345,125401167167,2
346,125401167167,0
347,125401167229,1
348,125401167229,0
349,125401167260,1
350,125401167539,1
351,125401167787,1
352,125401168345,1
353,125401168655,0
354,125401168686,1
355,125401168996,0
356,125401168996,0
357,125401169430,0
358,125401170794,0
359,125401170949,1
360,125401170949,2
361,125401170949,0
362,125401171166,2
363,125401171166,2
364,125401171166,0
365,125401171228,2
366,125401171228,0
367,125401171414,1
368,125401171414,0
369,125401171724,1
370,125401171724,2
371,125401171724,0
372,125401171817,2
373,125401172499,0
374,125401172933,1
375,125401173491,2
376,125401173491,0
377,125401173522,2
378,125401173522,0
379,125401174266,0
380,125401174328,0
381,125401174514,0
382,125401174545,2
383,125401175227,2
384,125401175227,0
385,125401175599,1
386,125401175599,0
387,125401175971,1
388,125401176002,0
389,125401176219,0
390,125401177862,1
391,125401177862,2
392,125401178141,0
393,125401179970,0
394,125401180032,1
395,125401180187,1
396,125401180187,2
397,125401180497,1
398,125401180590,0
399,125401181179,1
400,125401181396,1
401,125401181396,0
402,125401181954,1
403,125401182915,0
404,125401183008,2
405,125401183163,1
406,125401183163,1
407,125401183380,1
408,125401183380,2
409,125401183380,2
410,125401183380,0
411,125401183690,2
412,125401183690,0
413,125401184062,2
414,125401184372,1
415,125401184372,1
416,125401184372,0
417,125401184713,1
418,125401184713,2
419,125401184713,0
420,125401184775,0
421,125401184806,1
422,125401185147,0
423,125401185209,1
424,125401185209,0
425,125401185395,0
426,125401186666,1
427,125401186666,2
428,125401186666,0
429,125401186697,0
430,137355593410,0
431,137355593782,2
432,137355593782,0
433,137355594278,2
434,137355594278,2
435,137355594278,0
436,137355594588,2
437,137355594774,1
438,137355595952,2
439,137355595952,2
440,137355595952,0
441,137355598184,1
442,137355598184,1
443,137355598184,2
444,137355598277,0
445,137626514779,2
446,137626514779,0
447,137626516701,0
448,137626516980,2
449,137626516980,2
450,137626516980,0
451,137626517538,0
452,137626518375,0
453,137626518623,0
454,137626565371,0
455,137626565774,0
456,137626579662,2
457,137626580964,2
458,137626580964,0
459,137626582576,0
460,137626582793,1
461,137626582948,2
462,137626582948,0
463,137626583258,1
464,137626583258,2
465,137626583258,0
466,137626583661,0
467,137626583692,2
468,137626583692,0
469,137626584219,1
470,137626585490,2
471,137626585490,0
472,137626585583,1
473,137626585583,2
474,137626585583,0
475,137626586575,1
476,137626586575,2
477,137626587071,0
478,137627109638,2
479,137627109638,0
480,137627110320,2
481,137627110320,2
482,137627110723,1
483,137627110723,0
484,137627111467,2
485,137627111467,0
486,137627111560,2
